exercice,etape,depenses_recettes,ordre_reelle,section,chapitre,libelle_chapitre,sous_chapitre,libelle_sous_chapitre,article_par_nature,libelle_article_par_nature,montant
2018,BP,D,Réel,Fonctionnement,930,Services généraux,41,Actions interrégionales,6281,Concours divers (cotisations..),75000.0
2018,BP,D,Réel,Investissement,900,Services généraux,202,Autres moyens généraux,204142,Subv° équip versées Communes et struct interco - Bâtiments et installations,120628.0
2018,BP,D,Réel,Investissement,900,Services généraux,202,Autres moyens généraux,2051,Concessions et droits similaires,1625169.96
2018,BP,D,Réel,Investissement,900,Services généraux,202,Autres moyens généraux,21311,Bâtiments administratifs,1062112.68
2018,BP,R,Réel,Fonctionnement,930,Services généraux,202,Autres moyens généraux,6479,Remboursements sur autres charges sociales diverses,136799.0
2018,BP,R,Ordre,Fonctionnement,946,Transferts entre les sections,777,Quote-part des subventions d'investissement transférées au compte résultat,1,Non Ventilable,80000000.0
2018,BP,R,Ordre,Investissement,926,Transferts entre les sections,2804122,Amortissement des subventions d'équipement versées à des Régions - Bâtiments et installations,1,Non Ventilable,50000.0
2018,BP,R,Ordre,Investissement,926,Transferts entre les sections,28041722,Amortissement des subventions d'équipement versées RFF - Bâtiments et installations,1,Non Ventilable,9000000.0
2018,BP,R,Ordre,Investissement,926,Transferts entre les sections,280431,"Amortissement des subventions d'équipement versées Ets scolaires - Mobiliers, matériel et études",1,Non Ventilable,9000000.0
2018,BP,R,Ordre,Investissement,926,Transferts entre les sections,281318,Amortissement des autres bâtiments publics,1,Non Ventilable,2300000.0
2018,BP,R,Ordre,Investissement,926,Transferts entre les sections,281828,Amortissement des autres matériel de transport,1,Non Ventilable,9500000.0
2018,BP,R,Ordre,Investissement,926,Transferts entre les sections,281831,Amortissement du matériel informatique scolaire,1,Non Ventilable,4500000.0
2018,BP,R,Ordre,Investissement,926,Transferts entre les sections,281848,Amortissement des autres matériels de bureau et mobiliers,1,Non Ventilable,1020000.0
2018,BP,D,Réel,Fonctionnement,938,Transports,814,Transports interurbains,65736,Subventions de fonctionnement aux SPIC,1799698.0
2018,BP,D,Réel,Fonctionnement,938,Transports,815,Transports mixtes,6336,Cotisations au C.N.F.P.T. et au centre de gestion de la fonction publique territoriale,17000.0
2018,BP,D,Réel,Fonctionnement,938,Transports,883,Transports fluviaux,6331,Versement de transport,70000.0
2018,BP,D,Réel,Fonctionnement,938,Transports,883,Transports fluviaux,64162,Emplois d'avenir,20000.0
2018,BP,D,Réel,Fonctionnement,938,Transports,883,Transports fluviaux,6417,Rémunérations des apprentis,13300.0
2018,BP,D,Réel,Fonctionnement,938,Transports,883,Transports fluviaux,6454,Cotisations aux A.S.S.E.D.I.C.,69000.0
2018,BP,D,Réel,Fonctionnement,938,Transports,886,Infrastructures portuaires et aéroportuaires,60611,Eau et assainissement,29350.0
2018,BP,D,Réel,Fonctionnement,938,Transports,886,Infrastructures portuaires et aéroportuaires,60632,Fournitures de petit équipement,227510.0
2018,BP,D,Réel,Fonctionnement,938,Transports,886,Infrastructures portuaires et aéroportuaires,6238,"Diverses publicité, publications,relations publiques",54882.25
2018,BP,D,Réel,Fonctionnement,938,Transports,886,Infrastructures portuaires et aéroportuaires,6332,Cotisations versées au F.N.A.L.,10000.0
2018,BP,D,Réel,Fonctionnement,938,Transports,886,Infrastructures portuaires et aéroportuaires,6568,Autres participations,328895.81
2018,BP,D,Réel,Fonctionnement,938,Transports,886,Infrastructures portuaires et aéroportuaires,6574,Subventions de fonctionnement aux personnes de droit privé,37176.0
2018,BP,D,Réel,Fonctionnement,938,Transports,886,Infrastructures portuaires et aéroportuaires,6711,Intérêts moratoires et pénalités sur marché,0.12
2018,BP,D,Réel,Investissement,908,Transports,812,Gares et autres infrastructures ferroviaires,204143,Subv° équip versées Communes et struct interco - Projets d'infrastructures d'intérêt national,8073966.29
2018,BP,D,Réel,Investissement,908,Transports,812,Gares et autres infrastructures ferroviaires,2041713,Subv° équip versées SNCF - Projets d'infrastructures d'intérêt national,4000000.0
2018,BP,D,Réel,Investissement,908,Transports,815,Transports mixtes,204131,"Subv° équip versées Départements - Biens mobiliers, matériel et études",300000.0
2018,BP,D,Réel,Investissement,908,Transports,815,Transports mixtes,2152,Instrallation de voirie,138000.0
2018,BP,D,Réel,Investissement,908,Transports,886,Infrastructures portuaires et aéroportuaires,20423,Subv° équip versées pers dt privé - Projets d'infrastructures d'intérêt national,307000.0
2018,BP,D,Réel,Investissement,908,Transports,886,Infrastructures portuaires et aéroportuaires,2312,Agencements et aménagements de terrains en cours,49478325.26
2018,BP,D,Réel,Investissement,908,Transports,888,Autres,2031,Frais d'études,371886.97
2018,BP,D,Réel,Investissement,908,Transports,888,Autres,204142,Subv° équip versées Communes et struct interco - Bâtiments et installations,350000.0
2018,BP,D,Réel,Investissement,908,Transports,888,Autres,204152,Subv° équip versées Autres gmpts coll et EPL - Bâtiments et installations,372952.98
2018,BP,D,Réel,Investissement,908,Transports,888,Autres,238,Avances et acomptes versés sur commandes d'immobilisations corporelles,297628.14
2018,BP,R,Réel,Fonctionnement,938,Transports,811,Transport ferroviaire régional des voyageurs,7068,Autres redevances et droits,360000.0
2018,BP,R,Réel,Fonctionnement,938,Transports,815,Transports mixtes,7068,Autres redevances et droits,120000.0
2018,BP,R,Réel,Fonctionnement,938,Transports,815,Transports mixtes,7474,Participations des communes et structures intercommunales,773000.0
2018,BP,R,Réel,Investissement,908,Transports,886,Infrastructures portuaires et aéroportuaires,1313,Subventions d'équipement transférables - Départements,5000000.0
2018,BP,R,Ordre,Investissement,951,Virement à la section de fonctionnement,21,Virement de la section de fonctionnement,1,Non Ventilable,7256740.0
2018,BP,D,Réel,Fonctionnement,930,Services généraux,201,Personnel non ventilé,6451,Cotisations à l' U.R.S.S.A.F.,5900000.0
2018,BP,D,Réel,Fonctionnement,930,Services généraux,201,Personnel non ventilé,64118,Autres indemnités,7664900.0
2018,BP,R,Réel,Fonctionnement,941,Autres impôts et taxes,73841,Frais de gestion FPA,1,Non Ventilable,23984000.0
2018,BP,D,Réel,Investissement,903,"Culture, sports et loisirs",313,"Patrimoine (Bibliothèques ,musées, monuments...)",204182,Subv° équip versées org publics divers - Bâtiments et installations,50000.0
2018,BP,D,Réel,Investissement,903,"Culture, sports et loisirs",312,Activités culturelles et artistiques,20421,"Subv° équip versées pers dt privé - Biens mobiliers, matériel et études",4546583.38
2018,BP,D,Réel,Investissement,903,"Culture, sports et loisirs",32,Sports,20422,Subv° équip versées pers dt privé - Bâtiments et installations,203002.72
2018,BP,D,Réel,Fonctionnement,932,Enseignement,20,Services communs,6231,Annonces et insertions,2000.0
2018,BP,D,Réel,Fonctionnement,933,"Culture, sports et loisirs",313,"Patrimoine (Bibliothèques ,musées, monuments...)",6338,"Autres impôts, taxes et versements assimilés sur rémunérations",3000.0
2018,BP,D,Réel,Fonctionnement,933,"Culture, sports et loisirs",313,"Patrimoine (Bibliothèques ,musées, monuments...)",64131,Rémunérations du personnel non titulaire,65000.0
2018,BP,D,Réel,Fonctionnement,933,"Culture, sports et loisirs",313,"Patrimoine (Bibliothèques ,musées, monuments...)",6451,Cotisations à l' U.R.S.S.A.F.,109000.0
2018,BP,D,Réel,Fonctionnement,933,"Culture, sports et loisirs",313,"Patrimoine (Bibliothèques ,musées, monuments...)",64118,Autres indemnités,182000.0
2018,BP,D,Réel,Fonctionnement,932,Enseignement,222,Lycées publics,6458,Cotisations aux autres organismes sociaux,200000.0
2018,BP,D,Réel,Fonctionnement,932,Enseignement,20,Services communs,65735,"Subventions de fonctionnement aux autres groupements de collectivités, collectivités à statut particulier et EPL",1160960.0
2018,BP,D,Réel,Fonctionnement,932,Enseignement,222,Lycées publics,64112,NBI Supplément famillial de traitement et indemnité de résidence,1074000.0
2018,BP,D,Réel,Fonctionnement,932,Enseignement,222,Lycées publics,63513,Autres impôts locaux,100.0
2018,BP,D,Réel,Fonctionnement,932,Enseignement,222,Lycées publics,617,Etudes et recherches,504352.38
2018,BP,D,Réel,Fonctionnement,932,Enseignement,222,Lycées publics,60612,Energie - Elecricité,11000.0
2018,BP,D,Réel,Fonctionnement,935,Aménagement des territoires,54,Habitat - (Logement),65735,"Subventions de fonctionnement aux autres groupements de collectivités, collectivités à statut particulier et EPL",2651.24
2018,BP,D,Réel,Investissement,909,Action économique,93,"Agriculture, pêche, agro-industrie",204151,"Subv° équip versées Autres gmpts coll et EPL - Biens mobiliers, matériel et études",598400.0
2018,BP,R,Réel,Fonctionnement,939,Action économique,92,Recherche et innovation,7474,Participations des communes et structures intercommunales,800000.0
2018,BP,R,Réel,Investissement,909,Action économique,91,Interventions économiques transversales,2745,Avances remboursables,6220000.0
2018,BP,D,Réel,Investissement,909,Action économique,93,"Agriculture, pêche, agro-industrie",2745,Avances remboursables,40000.0
2018,BP,D,Réel,Fonctionnement,931,Formation professionnelle et apprentissage,10,Services communs,6245,Transports de personnes extérieures à la collectivité,67362.4
2018,BP,R,Réel,Fonctionnement,937,Environnement,75,Politique de l'énergie,7478,Participations des autres organismes,135000.0
2018,BP,D,Réel,Fonctionnement,937,Environnement,76,Patrimoine naturel,65731,Subventions de fonctionnement à l'Etat,185000.0
2018,BP,R,Réel,Fonctionnement,932,Enseignement,222,Lycées publics,7788,Produits exceptionnels divers,30000.0
2018,BP,D,Réel,Fonctionnement,939,Action économique,95,Tourisme et thermalisme,65738,Subventions de fonctionnement aux organismes publics divers,338970.0
2018,BP,D,Réel,Fonctionnement,939,Action économique,95,Tourisme et thermalisme,611,Contrats de prestations de services,202000.0
2018,BP,D,Réel,Investissement,902,Enseignement,23,Enseignement supérieur,204152,Subv° équip versées Autres gmpts coll et EPL - Bâtiments et installations,478000.0
2018,BP,D,Réel,Fonctionnement,936,gestion des fonds européens,62,FEDER,65735,"Subventions de fonctionnement aux autres groupements de collectivités, collectivités à statut particulier et EPL",400000.0
2018,BP,D,Réel,Investissement,901,Formation professionnelle et apprentissage,12,Apprentissage,20421,"Subv° équip versées pers dt privé - Biens mobiliers, matériel et études",1647000.0
2018,BP,R,Réel,Fonctionnement,931,Formation professionnelle et apprentissage,11,Formation professionnelle,7478,Participations des autres organismes,4942000.0
2018,BP,D,Réel,Fonctionnement,943,Opérations financières,6688,Autres charges financières - autres,1,Non Ventilable,4100000.0
2018,BP,D,Ordre,Investissement,925,Opérations patrimoniales,2154,Matériels Voies Navigables - 2154 (Mvts ordre),1,Non Ventilable,2000000.0
2018,BP,D,Ordre,Investissement,925,Opérations patrimoniales,21828,Autres matériels de transports M.O.,1,Non Ventilable,900000.0
2018,BP,D,Réel,Fonctionnement,934,Santé et action sociale,41,Santé,617,Etudes et recherches,5000.0
2018,BP,R,Réel,Investissement,902,Enseignement,20,Services communs,1332,Dotation régionale d'équipement scolaire,20958000.0
2018,BP,D,Réel,Fonctionnement,937,Environnement,75,Politique de l'énergie,65735,"Subventions de fonctionnement aux autres groupements de collectivités, collectivités à statut particulier et EPL",513511.67
2018,BP,D,Réel,Fonctionnement,937,Environnement,74,Politique de l'eau,65734,Subventions de fonctionnement aux Communes et structures intercommunales,465000.0
2018,BP,D,Réel,Fonctionnement,931,Formation professionnelle et apprentissage,10,Services communs,6185,Frais de colloques et de séminaires,18000.0
2018,BP,D,Réel,Fonctionnement,931,Formation professionnelle et apprentissage,10,Services communs,6234,Réceptions,71949.23
2018,BP,D,Réel,Fonctionnement,932,Enseignement,23,Enseignement supérieur,678,Autres charges exceptionnelles,2026.33
2018,BP,D,Réel,Fonctionnement,932,Enseignement,23,Enseignement supérieur,611,Contrats de prestations de services,3000.0
2018,BP,D,Réel,Fonctionnement,932,Enseignement,222,Lycées publics,6417,Rémunérations des apprentis,190000.0
2018,BP,D,Réel,Fonctionnement,931,Formation professionnelle et apprentissage,10,Services communs,65734,Subventions de fonctionnement aux Communes et structures intercommunales,86901.67
2018,BP,D,Réel,Fonctionnement,931,Formation professionnelle et apprentissage,12,Apprentissage,65735,"Subventions de fonctionnement aux autres groupements de collectivités, collectivités à statut particulier et EPL",242390.0
2018,BP,D,Réel,Investissement,901,Formation professionnelle et apprentissage,12,Apprentissage,204141,"Subv° équip versées Communes et struct interco - Biens mobiliers, matériel et études",43000.0
2018,BP,D,Réel,Investissement,901,Formation professionnelle et apprentissage,12,Apprentissage,204181,"Subv° équip versées org publics divers - Biens mobiliers, matériel et études",961000.0
2018,BP,D,Réel,Fonctionnement,931,Formation professionnelle et apprentissage,12,Apprentissage,65734,Subventions de fonctionnement aux Communes et structures intercommunales,93438.0
2018,BP,D,Réel,Fonctionnement,931,Formation professionnelle et apprentissage,12,Apprentissage,6231,Annonces et insertions,145000.0
2018,BP,R,Ordre,Investissement,926,Transferts entre les sections,28051,"Amortissement des concessions et droits similaires, brevets, licences, droits et valeurs similaires",1,Non Ventilable,1550000.0
2018,BP,R,Ordre,Investissement,926,Transferts entre les sections,281351,"Amortissement des installations générales, agencements, aménagement des bâtiments publics",1,Non Ventilable,350000.0
2018,BP,R,Ordre,Investissement,926,Transferts entre les sections,28041712,Amortissement des subventions d'équipement versées SNCF - Bâtiments et installations,1,Non Ventilable,12000000.0
2018,BP,R,Ordre,Investissement,926,Transferts entre les sections,281571,Amortissement du matériel et outillage techniques ferroviaire,1,Non Ventilable,250000.0
2018,BP,R,Ordre,Investissement,926,Transferts entre les sections,2804141,"Amortissement des subventions d'équipement versées à des communes et structures interco -Mobiliers, matériel et études",1,Non Ventilable,3000000.0
2018,BP,D,Ordre,Investissement,926,Transferts entre les sections,13913,Subventions d'équipement transférées au compte de résultat - Départements,1,Non Ventilable,1000000.0
2018,BP,D,Ordre,Investissement,926,Transferts entre les sections,13918,Autres subventions d'équipement transférées au compte de résultat,1,Non Ventilable,5000000.0
2018,BP,D,Réel,Investissement,900,Services généraux,44,Aide publique au développement,20421,"Subv° équip versées pers dt privé - Biens mobiliers, matériel et études",35985.65
2018,BP,D,Réel,Fonctionnement,930,Services généraux,44,Aides publiques au développement,6574,Subventions de fonctionnement aux personnes de droit privé,10313.4
2018,BP,D,Réel,Investissement,900,Services généraux,202,Autres moyens généraux,2314,Constructions sur sol d'autrui en cours,100000.0
2018,BP,R,Ordre,Investissement,926,Transferts entre les sections,281754,Amortissement des voies navigables reçus au titre d'une mise à disposition,1,Non Ventilable,5000000.0
2018,BP,R,Ordre,Investissement,926,Transferts entre les sections,281821,Amortissement du matériel de transport ferroviaire (roulant),1,Non Ventilable,500000.0
2018,BP,D,Réel,Fonctionnement,938,Transports,811,Transport ferroviaire régional des voyageurs,6236,"Catalogues, imprimés et publications",54088.79
2018,BP,D,Réel,Fonctionnement,938,Transports,811,Transport ferroviaire régional des voyageurs,6231,Annonces et insertions,428572.41
2018,BP,D,Réel,Fonctionnement,938,Transports,815,Transports mixtes,64138,Primes et autres indemnités,9000.0
2018,BP,D,Réel,Fonctionnement,938,Transports,883,Transports fluviaux,64118,Autres indemnités,920000.0
2018,BP,D,Réel,Fonctionnement,938,Transports,812,Gares et autres infrastructures ferroviaires,6132,Locations immmobilières,10000.0
2018,BP,R,Réel,Fonctionnement,933,"Culture, sports et loisirs",312,Activités culturelles et artistiques,74718,Autres participations de l'Etat,450000.0
2018,BP,D,Réel,Fonctionnement,933,"Culture, sports et loisirs",313,"Patrimoine (Bibliothèques ,musées, monuments...)",6236,"Catalogues, imprimés et publications",59446.0
2018,BP,R,Réel,Investissement,905,Aménagement des territoires,56,Technologies de l'information et de la communication,2745,Avances remboursables,38460.0
2018,BP,R,Réel,Fonctionnement,941,Autres impôts et taxes,7321,TICPE 1ere part - modulation LRL,1,Non Ventilable,204072000.0
2018,BP,R,Réel,Fonctionnement,941,Autres impôts et taxes,733,Fraction de TVA,1,Non Ventilable,189233000.0
2018,BP,D,Réel,Investissement,909,Action économique,93,"Agriculture, pêche, agro-industrie",204141,"Subv° équip versées Communes et struct interco - Biens mobiliers, matériel et études",73333.33
2018,BP,D,Réel,Investissement,909,Action économique,93,"Agriculture, pêche, agro-industrie",20421,"Subv° équip versées pers dt privé - Biens mobiliers, matériel et études",3861423.29
2018,BP,D,Réel,Investissement,909,Action économique,93,"Agriculture, pêche, agro-industrie",20422,Subv° équip versées pers dt privé - Bâtiments et installations,9180371.24
2018,BP,D,Réel,Investissement,909,Action économique,95,Tourisme et thermalisme,204142,Subv° équip versées Communes et struct interco - Bâtiments et installations,902624.0
2018,BP,D,Réel,Investissement,909,Action économique,92,Recherche et innovation,204182,Subv° équip versées org publics divers - Bâtiments et installations,3317192.62
2018,BP,D,Réel,Investissement,909,Action économique,93,"Agriculture, pêche, agro-industrie",271,Titres immobilisés (droits de propriété),987142.11
2018,BP,D,Réel,Fonctionnement,935,Aménagement des territoires,53,Espace rural at autres espaces de développement,6185,Frais de colloques et de séminaires,12000.0
2018,BP,D,Réel,Fonctionnement,935,Aménagement des territoires,53,Espace rural at autres espaces de développement,6281,Concours divers (cotisations..),20000.0
2018,BP,D,Réel,Investissement,905,Aménagement des territoires,53,Espace rural et autres espaces de développement,204153,Subv° équip versées Autres gmpts coll et EPL - Projets d'infrastructures d'intérêt national,30300.08
2018,BP,D,Réel,Investissement,905,Aménagement des territoires,54,Habitat - (Logement),204142,Subv° équip versées Communes et struct interco - Bâtiments et installations,1089779.77
2018,BP,D,Réel,Investissement,905,Aménagement des territoires,54,Habitat - (Logement),204182,Subv° équip versées org publics divers - Bâtiments et installations,845418.83
2018,BP,D,Réel,Fonctionnement,939,Action économique,92,Recherche et innovation,65734,Subventions de fonctionnement aux Communes et structures intercommunales,72500.0
2018,BP,D,Réel,Investissement,905,Aménagement des territoires,56,Technologies de l'information et de la communication,21838,Autre matériel informatique,147554.6
2018,BP,D,Réel,Fonctionnement,930,Services généraux,202,Autres moyens généraux,6478,Autres charges sociales diverses,1315600.0
2018,BP,D,Réel,Fonctionnement,939,Action économique,93,"Agriculture, pêche, agro-industrie",65734,Subventions de fonctionnement aux Communes et structures intercommunales,430720.89
2018,BP,D,Réel,Fonctionnement,930,Services généraux,21,Conseil Régional,6531,Indemnités de fonction des élus régionaux,2890000.0
2018,BP,D,Réel,Fonctionnement,939,Action économique,95,Tourisme et thermalisme,6238,"Diverses publicité, publications,relations publiques",101140.0
2018,BP,D,Réel,Fonctionnement,930,Services généraux,21,Conseil Régional,6533,Cotisations de retraite des élus régionaux,269000.0
2018,BP,D,Réel,Fonctionnement,939,Action économique,93,"Agriculture, pêche, agro-industrie",611,Contrats de prestations de services,618331.62
2018,BP,D,Réel,Fonctionnement,930,Services généraux,22,Conseil Economique et Social Régional,6228,Diverses rémunérations d'intermédiaires et honoraires,10000.0
2018,BP,D,Réel,Investissement,909,Action économique,91,Interventions économiques transversales,16873,Dettes envers les départements,580800.0
2018,BP,D,Réel,Fonctionnement,930,Services généraux,22,Conseil Economique et Social Régional,64131,Rémunérations du personnel non titulaire,47000.0
2018,BP,D,Réel,Fonctionnement,939,Action économique,95,Tourisme et thermalisme,617,Etudes et recherches,264384.0
2018,BP,D,Réel,Fonctionnement,930,Services généraux,22,Conseil Economique et Social Régional,6454,Cotisations aux A.S.S.E.D.I.C.,3800.0
2018,BP,D,Réel,Fonctionnement,933,"Culture, sports et loisirs",313,"Patrimoine (Bibliothèques ,musées, monuments...)",6574,Subventions de fonctionnement aux personnes de droit privé,698276.67
2018,BP,D,Réel,Fonctionnement,930,Services généraux,22,Conseil Economique et Social Régional,6458,Cotisations aux autres organismes sociaux,1600.0
2018,BP,D,Réel,Fonctionnement,933,"Culture, sports et loisirs",32,Sports,6574,Subventions de fonctionnement aux personnes de droit privé,3539125.0
2018,BP,D,Réel,Fonctionnement,930,Services généraux,22,Conseil Economique et Social Régional,65211,Indemnités de fonction,1700000.0
2018,BP,D,Réel,Fonctionnement,932,Enseignement,20,Services communs,6238,"Diverses publicité, publications,relations publiques",10000.0
2018,BP,D,Réel,Fonctionnement,930,Services généraux,23,"Conseil de la culture, de l'Education et de l'Environnement",6228,Diverses rémunérations d'intermédiaires et honoraires,10000.0
2018,BP,R,Réel,Investissement,923,Dettes et autres opérations financières,1641,Emprunts en euro,1,Non Ventilable,233000000.0
2018,BP,D,Réel,Fonctionnement,930,Services généraux,41,Actions interrégionales,6238,"Diverses publicité, publications,relations publiques",36000.0
2018,BP,D,Réel,Fonctionnement,932,Enseignement,222,Lycées publics,611,Contrats de prestations de services,294176.31
2018,BP,D,Réel,Fonctionnement,930,Services généraux,41,Actions interrégionales,65738,Subventions de fonctionnement aux organismes publics divers,175655.06
2018,BP,D,Réel,Fonctionnement,932,Enseignement,222,Lycées publics,61521,Entretien et réparations sur terrains,3000.0
2018,BP,D,Réel,Fonctionnement,930,Services généraux,44,Aides publiques au développement,6228,Diverses rémunérations d'intermédiaires et honoraires,21688.05
2018,BP,D,Réel,Fonctionnement,932,Enseignement,222,Lycées publics,6132,Locations immmobilières,8500.0
2018,BP,D,Réel,Investissement,900,Services généraux,202,Autres moyens généraux,21318,Autres bâtiments publics,7344445.03
2018,BP,D,Réel,Fonctionnement,930,Services généraux,202,Autres moyens généraux,63512,Taxes foncières,439720.33
2018,BP,D,Réel,Investissement,900,Services généraux,202,Autres moyens généraux,2744,Prêts d'honneur,32000.0
2018,BP,D,Réel,Fonctionnement,930,Services généraux,202,Autres moyens généraux,61558,Entretien et réparations sur autres biens mobiliers,164925.0
2018,BP,D,Réel,Investissement,900,Services généraux,44,Aide publique au développement,204142,Subv° équip versées Communes et struct interco - Bâtiments et installations,5000.0
2018,BP,D,Réel,Fonctionnement,930,Services généraux,202,Autres moyens généraux,6288,Autres charges diverses sur services extérieurs,2000.0
2018,BP,D,Ordre,Fonctionnement,946,Transferts entre les sections,6811,Dotations aux amortissements des immobilisations incorporelles et corporelles,1,Non Ventilable,302600000.0
2018,BP,D,Réel,Fonctionnement,930,Services généraux,202,Autres moyens généraux,6231,Annonces et insertions,1073654.15
2018,BP,R,Ordre,Investissement,926,Transferts entre les sections,2804111,"Amortissement des subventions d'équipement versées à l'Etat - Mobiliers, matériel et études",1,Non Ventilable,100000.0
2018,BP,D,Réel,Fonctionnement,930,Services généraux,202,Autres moyens généraux,617,Etudes et recherches,666319.78
2018,BP,R,Ordre,Investissement,926,Transferts entre les sections,28041711,"Amortissement des subventions d'équipement versées SNCF - Mobiliers, matériel et études",1,Non Ventilable,12000000.0
2018,BP,D,Réel,Fonctionnement,930,Services généraux,202,Autres moyens généraux,6184,Frais de formation,20000.0
2018,BP,R,Ordre,Investissement,926,Transferts entre les sections,28041723,Amortissement des subventions d'équipement versées RFF - Infra intérêt national,1,Non Ventilable,23000000.0
2018,BP,D,Réel,Fonctionnement,938,Transports,886,Infrastructures portuaires et aéroportuaires,6251,"Voyages, déplacements et missions",10000.0
2018,BP,R,Ordre,Investissement,926,Transferts entre les sections,2804181,"Amortissement des subventions d'équipement versées Ets publics divers - Mobiliers, matériel et études",1,Non Ventilable,14000000.0
2018,BP,D,Réel,Fonctionnement,938,Transports,886,Infrastructures portuaires et aéroportuaires,64118,Autres indemnités,530000.0
2018,BP,R,Ordre,Investissement,926,Transferts entre les sections,28128,Amortissement des autres agencements et aménagements de terrains,1,Non Ventilable,160000.0
2018,BP,D,Réel,Fonctionnement,938,Transports,886,Infrastructures portuaires et aéroportuaires,6226,Honoraires,108028.66
2018,BP,R,Ordre,Investissement,926,Transferts entre les sections,28154,Amortissement des voies navigables,1,Non Ventilable,200000.0
2018,BP,D,Réel,Fonctionnement,938,Transports,888,Autres,65735,"Subventions de fonctionnement aux autres groupements de collectivités, collectivités à statut particulier et EPL",50000.0
2018,BP,R,Ordre,Investissement,926,Transferts entre les sections,281841,Amortissement du matériel de bureau et mobilier scolaire,1,Non Ventilable,2000000.0
2018,BP,R,Réel,Fonctionnement,938,Transports,886,Infrastructures portuaires et aéroportuaires,7478,Participations des autres organismes,35000.0
2018,BP,R,Ordre,Investissement,926,Transferts entre les sections,28185,Amortissement du matériel de téléphonie,1,Non Ventilable,200000.0
2018,BP,R,Réel,Fonctionnement,938,Transports,886,Infrastructures portuaires et aéroportuaires,707,Ventes de marchandises,500.0
2018,BP,D,Réel,Fonctionnement,938,Transports,812,Gares et autres infrastructures ferroviaires,65734,Subventions de fonctionnement aux Communes et structures intercommunales,20000.0
2018,BP,D,Réel,Investissement,908,Transports,811,Transport ferroviaire régional des voyageurs,2041711,"Subv° équip versées SNCF - Biens mobiliers, matériel et études",8641776.89
2018,BP,D,Réel,Fonctionnement,938,Transports,815,Transports mixtes,6332,Cotisations versées au F.N.A.L.,11000.0
2018,BP,D,Réel,Investissement,908,Transports,811,Transport ferroviaire régional des voyageurs,2031,Frais d'études,61652.26
2018,BP,D,Réel,Fonctionnement,938,Transports,815,Transports mixtes,6417,Rémunérations des apprentis,8600.0
2018,BP,D,Réel,Fonctionnement,939,Action économique,91,Interventions économiques transversales,65734,Subventions de fonctionnement aux Communes et structures intercommunales,39000.0
2018,BP,D,Réel,Fonctionnement,938,Transports,815,Transports mixtes,6568,Autres participations,43062746.43
2018,BP,D,Réel,Fonctionnement,939,Action économique,91,Interventions économiques transversales,611,Contrats de prestations de services,512259.3
2018,BP,D,Réel,Fonctionnement,938,Transports,818,Autres transports en commun,6132,Locations immmobilières,3200.0
2018,BP,D,Réel,Fonctionnement,939,Action économique,91,Interventions économiques transversales,6132,Locations immmobilières,10000.0
2018,BP,D,Réel,Fonctionnement,938,Transports,818,Autres transports en commun,6245,Transports de personnes extérieures à la collectivité,38700.0
