exercice,d_r,i_f,ordre_o_n,code_chapitre,libelle_chapitre,code_ss_fonction,libelle_ss_fonction,code_article,libelle_article,montant
2012,R,F,N,74,DOTATIONS ET PARTICIPATIONS,255,Autres enseignements,74718,AUTRES PARTICIPATIONS ETAT,85000.0
2012,R,F,N,74,DOTATIONS ET PARTICIPATIONS,322,Musées,74718,AUTRES PARTICIPATIONS ETAT,93357.0
2012,R,F,N,74,DOTATIONS ET PARTICIPATIONS,33,Action culturelle,7473,PARTICIPATIONS - DEPARTEMENTS,38113.0
2012,R,F,N,74,DOTATIONS ET PARTICIPATIONS,60,Famille - Services communs,7478,PARTICIPATIONS D'AUTRES ORGANISMES,10315.08
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,26,Cimetières et Pompes funèbres,60632,FOURNITURES DE PETIT EQUIPEMENT,3404.71
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,110,Sécurité intérieure - services communs,6068,AUTRES MATIERES ET FOURNITURES,1501.04
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,213,Classes regroupées,6067,FOURNITURES SCOLAIRES,563595.75
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,213,Classes regroupées,6068,AUTRES MATIERES ET FOURNITURES,177461.54
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,255,Autres enseignements,6156,MAINTENANCE,86929.39
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,255,Autres enseignements,6257,RECEPTIONS,12615.46
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,311,Culture - Expression musicale lyrique,60631,FOURNITURES D'ENTRETIEN,71.04
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,322,Musées,6255,FRAIS DE DEMENAGEMENT,0.0
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,6354,DROITS D'ENREGISTREMENT ET DE TIMBRE,1050.0
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,23,"Information, communication, publicité",6182,DOCUMENTATION GENERALE ET TECHNIQUE,50928.51
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,23,"Information, communication, publicité",6231,ANNONCES ET INSERTIONS,453879.85
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,48,Autres actions de coopération décentralisée,60623,ALIMENTATION,367.9
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,48,Autres actions de coopération décentralisée,6241,TRANSPORT DE BIENS,0.0
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,213,Classes regroupées,60636,VETEMENTS DE TRAVAIL,71650.36
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,213,Classes regroupées,611,CONTRATS PRESTATIONS DE SERVICES,134258.33
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,251,Hébergement et restauration scolaire,60623,ALIMENTATION,3362766.65
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,324,Entretien du Patrimoine culturel,6042,ACHATS DE PRESTATIONS DE SERVICES,132782.95
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,33,Action culturelle,611,CONTRATS PRESTATIONS DE SERVICES,284262.75
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,33,Action culturelle,6156,MAINTENANCE,15136.53
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,411,"Salles de sport, gymnases",60623,ALIMENTATION,3033.6
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,422,Autres activités pour les jeunes,6236,CATALOGUES ET IMPRIMES,94733.44
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,820,Aménagements urbains - services communs,60631,FOURNITURES D'ENTRETIEN,0.0
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,823,Espaces verts urbains,6241,TRANSPORT DE BIENS,1393.64
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,823,Espaces verts urbains,6281,CONCOURS DIVERS (COTISATIONS),5741.41
2012,D,F,N,12,CHARGES DE PERSONNEL,33,Action culturelle,64112,"PERSONNEL TITULAIRE - NBI, SFT, INDEMNITE RESIDENCE",420983.97
2012,D,F,N,12,CHARGES DE PERSONNEL,33,Action culturelle,64118,PERSONNEL TITULAIRE - AUTRES INDEMNITES,1808484.1
2012,D,F,N,12,CHARGES DE PERSONNEL,40,Sports et Jeunesse - Services communs,6453,COTISATIONS AUX CAISSES DE RETRAITE,2137976.03
2012,D,F,N,12,CHARGES DE PERSONNEL,510,Santé - services communs,64118,PERSONNEL TITULAIRE - AUTRES INDEMNITES,328439.43
2012,D,F,N,12,CHARGES DE PERSONNEL,510,Santé - services communs,6488,AUTRES CHARGES DE PERSONNEL,51834.55
2012,R,I,O,40,OPERATIONS D'ORDRE DE TRANSFERTS ENTRE SECTIONS,1,Services généraux opérations non ventilables,2804421,AMORT. SUB. EQPT EN NATURE-PERS. DROIT PRIVE MATERIELS,5216.2
2012,R,F,O,42,OPERATIONS D'ORDRE DE TRANSFERT ENTRE SECTION,1,Services généraux opérations non ventilables,7811,REPRISES SUR AMORTISSEMENTS IMMO INCORPORELLES & CORPORELLES,0.0
2012,R,I,N,13,SUBVENTIONS INVESTISSEMENT,20,Administration générale de la collectivité,1327,SUBVENTIONS EQUIPEMENT NON TRANSFERABLES FONDS EUROPEENS,0.0
2012,R,I,N,13,SUBVENTIONS INVESTISSEMENT,411,"Salles de sport, gymnases",1323,SUBVENTIONS EQUIPEMENT NON TRANSFERABLES DEPARTEMENTS,306276.0
2012,D,I,N,21,IMMOBILISATIONS CORPORELLES,20,Administration générale de la collectivité,2184,MOBILIER,148647.9
2012,D,I,N,21,IMMOBILISATIONS CORPORELLES,20,Administration générale de la collectivité,2188,AUTRES IMMOBILISATIONS CORPORELLES,72333.77
2012,D,I,N,21,IMMOBILISATIONS CORPORELLES,411,"Salles de sport, gymnases",2111,TERRAINS NUS,742099.65
2012,D,I,N,23,IMMOBILISATIONS EN COURS,20,Administration générale de la collectivité,2312,IMMOBILISATIONS EN COURS - TERRAINS,0.0
2012,D,I,N,23,IMMOBILISATIONS EN COURS,48,Autres actions de coopération décentralisée,2313,IMMOBILISATIONS EN COURS - CONSTRUCTIONS,211767.66
2012,D,I,N,23,IMMOBILISATIONS EN COURS,311,Culture - Expression musicale lyrique,2313,IMMOBILISATIONS EN COURS - CONSTRUCTIONS,95194.96
2012,D,I,N,26,PARTICIPATIONS ET CREANCES RATTACHEES,1,Services généraux opérations non ventilables,266,AUTRES FORMES DE PARTICIPATIONS,10710.0
2012,D,F,N,65,AUTRES CHARGES DE GESTION COURANTE,21,Administration générale assemblée locale,6531,INDEMNITES ELUS,831172.07
2012,D,F,N,65,AUTRES CHARGES DE GESTION COURANTE,64,Crèches et garderies,6541,CREANCES ADMISES EN NON VALEUR,2385.06
2012,D,F,N,65,AUTRES CHARGES DE GESTION COURANTE,830,Environnement - services communs,651,"REDEVANCES POUR CONCESSIONS, BREVETS, LICENCES, PROCEDES,...",1415.13
2012,R,F,N,70,"PRODUITS DES SERVICES, DU DOMAINE ET VENTES DIVERSES",820,Aménagements urbains - services communs,70388,AUTRES REDEVANCES & RECETTES DIV. D'UTILISATION DU DOMAINE,174958.9
2012,R,F,N,73,IMPOTS ET TAXES,1,Services généraux opérations non ventilables,7323,F.N.G.I.R.,2206.0
2012,R,F,N,74,DOTATIONS ET PARTICIPATIONS,91,Marchés et droits de place,74751,PARTICIPATIONS DU GFP DE RATTACHEMENT,8000.0
2012,R,F,N,75,AUTRES PRODUITS DE GESTION COURANTE,322,Musées,752,REVENUS DES IMMEUBLES,86515.87
2012,R,F,N,75,AUTRES PRODUITS DE GESTION COURANTE,414,Autres équipements sportifs ou de loisir,752,REVENUS DES IMMEUBLES,48917.22
2012,R,F,N,77,PRODUITS EXCEPTIONNELS,414,Autres équipements sportifs ou de loisir,7788,PRODUITS EXCEPTIONNELS DIVERS,9277.12
2012,R,F,N,77,PRODUITS EXCEPTIONNELS,823,Espaces verts urbains,7788,PRODUITS EXCEPTIONNELS DIVERS,800.0
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,254,Médecine scolaire,6064,FOURNITURES ADMINISTRATIVES,1898.12
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,321,Bibliothèques et médiathèques,6188,AUTRES FRAIS DIVERS,0.0
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,322,Musées,6231,ANNONCES ET INSERTIONS,42043.03
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,413,Piscines,62878,REMBOURSEMENT DE FRAIS A D'AUTRES ORGANISMES,1574405.85
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,823,Espaces verts urbains,6068,AUTRES MATIERES ET FOURNITURES,272280.06
2012,D,F,N,12,CHARGES DE PERSONNEL,20,Administration générale de la collectivité,64112,"PERSONNEL TITULAIRE - NBI, SFT, INDEMNITE RESIDENCE",285075.99
2012,D,F,N,12,CHARGES DE PERSONNEL,422,Autres activités pour les jeunes,6453,COTISATIONS AUX CAISSES DE RETRAITE,626687.78
2012,D,F,N,12,CHARGES DE PERSONNEL,823,Espaces verts urbains,6451,COTISATIONS A L'U.R.S.S.A.F.,1800299.85
2012,R,I,O,40,OPERATIONS D'ORDRE DE TRANSFERTS ENTRE SECTIONS,1,Services généraux opérations non ventilables,2804112,AMORT. SUB. EQPT EN NATURE-ORG. PUB.-BATIMENT & INSTALLATION,9333.33
2012,R,I,O,40,OPERATIONS D'ORDRE DE TRANSFERTS ENTRE SECTIONS,1,Services généraux opérations non ventilables,28042,AMORT. SUBV. EQPT AUX PERSONNES DE DROIT PRIVE,0.0
2012,D,F,O,42,OPERATIONS D'ORDRE DE TRANSFERT ENTRE SECTION,1,Services généraux opérations non ventilables,675,VALEURS COMPTABLES DES IMMOBILISATIONS CEDEES,5063928.94
2012,D,I,N,20,IMMOBILISATIONS INCORPORELLES,23,"Information, communication, publicité",2051,CONCESSIONS ET DROITS SIMILAIRES,19304.2
2012,D,I,N,20,IMMOBILISATIONS INCORPORELLES,110,Sécurité intérieure - services communs,2031,FRAIS D'ETUDES,14582.23
2012,D,I,N,21,IMMOBILISATIONS CORPORELLES,322,Musées,2188,AUTRES IMMOBILISATIONS CORPORELLES,4126.2
2012,D,I,N,21,IMMOBILISATIONS CORPORELLES,823,Espaces verts urbains,2188,AUTRES IMMOBILISATIONS CORPORELLES,699051.52
2012,D,F,N,65,AUTRES CHARGES DE GESTION COURANTE,110,Sécurité intérieure - services communs,6574,SUBV. FONCT ASSOCIATIONS ET AUTRES PERSONNES DE DROIT PRIVE,3000.0
2012,D,F,N,65,AUTRES CHARGES DE GESTION COURANTE,91,Marchés et droits de place,6541,CREANCES ADMISES EN NON VALEUR,17158.84
2012,D,F,N,67,CHARGES EXCEPTIONNELLES,48,Autres actions de coopération décentralisée,6714,BOURSES ET PRIX,24400.0
2012,D,F,N,67,CHARGES EXCEPTIONNELLES,321,Bibliothèques et médiathèques,6718,AUTRES CHARGES EXCEPTIONNELLES SUR OPERATIONS DE GESTION,110.0
2012,R,F,N,70,"PRODUITS DES SERVICES, DU DOMAINE ET VENTES DIVERSES",112,Police Municipale,70878,REMBOURSEMENTS DE FRAIS PAR D'AUTRES REDEVABLES,9840.0
2012,R,F,N,70,"PRODUITS DES SERVICES, DU DOMAINE ET VENTES DIVERSES",255,Autres enseignements,7067,REDEV. & DROITS DES SERVICES PERI-SCOLAIRES & D'ENSEIGNEMENT,1159223.35
2012,R,F,N,73,IMPOTS ET TAXES,1,Services généraux opérations non ventilables,7368,TAXE LOCALE SUR LA PUBLICITE EXTERIEURE,757850.19
2012,R,F,N,73,IMPOTS ET TAXES,26,Cimetières et Pompes funèbres,7333,TAXES FUNERAIRES,287866.98
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,322,Musées,6256,MISSIONS,668.8
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,830,Environnement - services communs,6042,ACHATS DE PRESTATIONS DE SERVICES,13775.62
2012,D,F,N,12,CHARGES DE PERSONNEL,48,Autres actions de coopération décentralisée,6216,PERSONNEL AFFECTE PAR LE GFP DE RATTACHEMENT,1189987.01
2012,D,F,N,12,CHARGES DE PERSONNEL,48,Autres actions de coopération décentralisée,64131,PERSONNEL NON TITULAIRE - REMUNERATIONS,0.0
2012,D,F,N,12,CHARGES DE PERSONNEL,324,Entretien du Patrimoine culturel,6454,COTISATIONS AUX A.S.S.E.D.I.C.,21596.65
2012,D,F,N,12,CHARGES DE PERSONNEL,33,Action culturelle,64131,PERSONNEL NON TITULAIRE - REMUNERATIONS,2234680.8
2012,D,F,N,12,CHARGES DE PERSONNEL,422,Autres activités pour les jeunes,6454,COTISATIONS AUX A.S.S.E.D.I.C.,24058.3
2012,R,I,N,20,IMMOBILISATIONS  INCORPORELLES,20,Administration générale de la collectivité,2033,FRAIS D'INSERTION,600.4
2012,D,I,N,21,IMMOBILISATIONS CORPORELLES,48,Autres actions de coopération décentralisée,2188,AUTRES IMMOBILISATIONS CORPORELLES,3089.96
2012,D,I,N,21,IMMOBILISATIONS CORPORELLES,33,Action culturelle,2132,IMMEUBLES DE RAPPORT,6064.03
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,60632,FOURNITURES DE PETIT EQUIPEMENT,57531.71
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,6156,MAINTENANCE,1379616.52
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,48,Autres actions de coopération décentralisée,6283,FRAIS DE NETTOYAGE DES LOCAUX,10608.33
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,255,Autres enseignements,6042,ACHATS DE PRESTATIONS DE SERVICES,151586.64
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,311,Culture - Expression musicale lyrique,60632,FOURNITURES DE PETIT EQUIPEMENT,6355.36
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,321,Bibliothèques et médiathèques,6231,ANNONCES ET INSERTIONS,1465.1
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,321,Bibliothèques et médiathèques,6261,FRAIS D'AFFRANCHISSEMENT,0.0
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,411,"Salles de sport, gymnases",61558,ENTRETIEN ET REPARATIONS - AUTRES BIENS MOBILIERS,34052.25
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,510,Santé - services communs,6132,LOCATIONS IMMOBILIERES,2600.0
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,60,Famille - Services communs,611,CONTRATS PRESTATIONS DE SERVICES,69293.25
2012,D,I,N,23,IMMOBILISATIONS EN COURS,411,"Salles de sport, gymnases",2313,IMMOBILISATIONS EN COURS - CONSTRUCTIONS,8392777.88
2012,D,F,N,65,AUTRES CHARGES DE GESTION COURANTE,21,Administration générale assemblée locale,6533,COTISATIONS DE RETRAITE ELUS,71368.2
2012,R,F,N,70,"PRODUITS DES SERVICES, DU DOMAINE ET VENTES DIVERSES",321,Bibliothèques et médiathèques,70848,MISE A DISPOSITION DE PERSONNEL FACTUREE / AUTRES ORGANISMES,20104.0
2012,R,F,N,74,DOTATIONS ET PARTICIPATIONS,522,Actions en faveur de l'enfance et l'adolescence,74741,PARTICIPATIONS DES COMMUNES MEMBRES DU GFP,0.0
2012,D,I,N,21,IMMOBILISATIONS CORPORELLES,520,Interventions sociales - services communs,2188,AUTRES IMMOBILISATIONS CORPORELLES,1065.16
2012,D,F,N,65,AUTRES CHARGES DE GESTION COURANTE,90,Interventions économiques,65738,SUBV. FONCTIONNEMENT VERSEES AUX AUTRES ORGANISMES PUBLICS,145000.0
2012,D,F,N,67,CHARGES EXCEPTIONNELLES,112,Police Municipale,678,AUTRES CHARGES EXCEPTIONNELLES,9058.68
2012,R,F,N,74,DOTATIONS ET PARTICIPATIONS,324,Entretien du Patrimoine culturel,7478,PARTICIPATIONS D'AUTRES ORGANISMES,0.0
2012,R,F,N,75,AUTRES PRODUITS DE GESTION COURANTE,26,Cimetières et Pompes funèbres,752,REVENUS DES IMMEUBLES,19203.78
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,64,Crèches et garderies,6255,FRAIS DE DEMENAGEMENT,5257.61
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,64,Crèches et garderies,6283,FRAIS DE NETTOYAGE DES LOCAUX,37054.23
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,820,Aménagements urbains - services communs,60636,VETEMENTS DE TRAVAIL,847.44
2012,D,F,N,11,CHARGES A CARACTERE GENERAL,823,Espaces verts urbains,61523,ENTRETIEN ET REPARATIONS - VOIES ET RESEAUX,428.72
